"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Toll Like Receptor TLR6:TLR2 Cascade",0.940932010344607,0.305799393641962,1,0.348955711260938,0.198724656156293,0.855899978824717,1,1,1,1,1,1,0.954493579752265,1,0.819717440801677
"Innate Immune System",0.940932010344607,1,1,1.59612110780206e-38,5.62759552980315e-07,0.603359691081916,1,1,1,1,1,1,0.895676734460507,1,0.00154154606054104
"Immune System",0.940932010344607,0.816807793244407,1,6.18488858392126e-51,1.54624937276944e-14,0.661038956919227,1,0.893791978516752,0.0164162426012671,1,1,1,0.676056630546823,0.953991658870179,1.67701333846858e-11
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",0.997830753731865,0.363967075823762,1,0.888995839128387,0.847727839151324,1,0.375077773412654,1,1,0.792099193235908,0.71723558953296,1,0.954493579752265,1,0.964074098622506
"Toll-Like Receptors Cascades",0.940932010344607,0.447311760002146,1,0.0059693442896549,0.329576980388217,0.855899978824717,1,1,1,1,1,1,0.90383722780576,0.908920563501567,0.167083285436251
"RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways",1,0.347145987032268,1,0.696446927708408,0.0341971894363991,0.976644457301385,1,1,1,0.905443177419773,1,1,0.921043880078693,0.588996569862278,1
"Prolonged ERK activation events",1,1,0.743432963039314,0.355781094035586,0.822642171087943,0.603359691081916,1,0.893791978516752,1,1,1,0.907876771995574,1,1,1
"Signaling by TGF-beta Receptor Complex",0.940932010344607,0.702432304614647,1,1,0.0455344553021868,1,1,1,0.927836539648885,1,1,0.329267597413681,1,0.912060401327887,0.455916027248409
"Frs2-mediated activation",1,1,0.743432963039314,0.355781094035586,0.822642171087943,0.603359691081916,1,0.893791978516752,1,1,1,0.907876771995574,1,1,1
"ARMS-mediated activation",1,1,0.743432963039314,0.355781094035586,0.822642171087943,0.603359691081916,1,0.893791978516752,1,1,1,0.907876771995574,1,1,1
"Packaging Of Telomere Ends",1,0.0823943280294888,0.909741487500433,1,1.42591999809743e-16,1,1,0.893791978516752,0.824494520184627,1,1,1,0.908149678790934,1,1
"Lipoprotein metabolism",1,0.9858141681863,1,0.781342307811858,1,1,1,1,1,1,0.99600148714089,0.532469591681268,1,1,0.968567358537829
"Signaling by EGFR",0.940932010344607,1,0.882738466194612,0.0346109757864631,0.74029836849407,0.438824466889272,1,0.911416956619709,0.824494520184627,1,1,0.65524102926189,1,1,0.968567358537829
"Chondroitin sulfate/dermatan sulfate metabolism",1,1,1,0.382129225447479,1,1,1,0.893791978516752,0.99183907047225,1,0.248964348399077,1,1,1,0.998946923561653
"GRB2 events in EGFR signaling",0.997830753731865,1,0.743432963039314,0.39898864390683,0.847727839151324,0.603359691081916,1,0.893791978516752,1,1,1,0.878393140067727,1,1,1
"GAB1 signalosome",0.940932010344607,1,1,0.0415772753662474,1,0.930625125158283,1,0.893791978516752,0.285910637594401,0.792099193235908,0.692423034991988,0.197089231826134,1,0.991230810375526,0.968567358537829
